gender,ethnic,age_group,bmi_group,mean,sd,n_subjects
2,1,4,5,156.7,4.945,58
2,1,4,6,154.2,5.209,27
2,1,4,7,155.8,7.418,8
2,1,4,8,154.8,4.969,6
2,1,5,1,154.4,5.993,42
2,1,5,2,155,5.461,91
2,1,5,3,155.3,5.483,88
2,1,5,4,154.1,5.488,58
2,1,5,5,154.4,4.672,29
2,1,5,6,153.4,4.436,15
2,1,5,7,154,4.841,5
2,1,5,8,151.2,3.182,2
2,1,6,1,152.9,5.602,17
2,1,6,2,153.7,5.38,20
2,1,6,3,151.7,4.892,27
2,1,6,4,154.1,5.254,22
2,1,6,5,149.2,7.934,5
2,1,6,6,145.3,3.055,3
2,1,6,7,,,0
2,1,6,8,153,,1
2,2,1,1,158.7,5.875,52
2,2,1,2,158,5.768,41
2,2,1,3,158.2,5.852,41
2,2,1,4,156.4,5.632,29
2,2,1,5,157.8,5.935,23
2,2,1,6,158.5,5.829,11
2,2,1,7,162.2,4.958,9
2,2,1,8,159.4,6.435,16
2,2,2,1,159.8,6.006,29
2,2,2,2,156.8,5.271,48
2,2,2,3,156.5,4.352,54
2,2,2,4,156.6,5.907,55
2,2,2,5,157.9,5.128,34
2,2,2,6,156.2,5.734,28
2,2,2,7,159.6,6.225,16
2,2,2,8,156.8,7.428,32
2,2,3,1,155.5,5.805,19
2,2,3,2,156.4,5.292,60
2,2,3,3,154.7,5.142,103
2,2,3,4,156,5.77,122
2,2,3,5,155.4,5.915,98
2,2,3,6,154.8,5.82,73
2,2,3,7,156.2,5.784,49
2,2,3,8,155.6,6.278,61
2,2,4,1,155.2,6.365,15
2,2,4,2,155.2,5.376,29
2,2,4,3,153.8,3.712,60
2,2,4,4,154.2,5.829,73
2,2,4,5,153.7,5.376,88
2,2,4,6,153.3,5.652,58
2,2,4,7,152.8,6.579,32
2,2,4,8,153.9,5.672,43
2,2,5,1,150.8,4.881,7
2,2,5,2,153.3,5.249,11
2,2,5,3,151.6,6.101,29
2,2,5,4,149.4,6.061,22
2,2,5,5,150.6,4.93,28
2,2,5,6,151.8,4.784,17
2,2,5,7,149.4,4.273,14
2,2,5,8,149.5,6.609,8
2,2,6,1,151.5,6.038,9
2,2,6,2,148.4,5.618,7
2,2,6,3,150.4,4.99,8
2,2,6,4,150.5,4.749,8
2,2,6,5,146.6,3.808,7
2,2,6,6,149,5.072,6
2,2,6,7,153.3,1.838,2
